name,time,marks,prerequisites
230,5,22,96;107;116
231,7,12,94;79
232,9,10,198;145;152
233,4,44,13
234,7,33,193;158
235,6,14,20
236,6,49,169;108
237,5,17,113;106
238,5,42,193;131
239,6,36,110;28
240,5,35,173;151
241,3,45,170;78
242,7,22,101
243,3,34,14;1;52;77
244,10,49,196;35;195;65
245,7,29,30;1
246,1,45,110;44
247,5,29,136;180
248,7,23,143;171
249,10,47,18;101;189;10
250,8,30,117;19
251,8,38,147;109;146;103
252,9,23,106;74;29
253,3,40,83;43
254,5,15,158;117;176;92
255,10,42,27
256,2,31,150;102
257,5,25,101;79;190
258,4,24,85;199
259,1,19,130;162
260,4,12,130;49
261,10,40,186;165;37
262,8,14,37;65
263,10,36,154;39
264,7,22,167;19;45
265,7,41,160;126;118;193
266,3,25,148;114;174
267,2,10,144;164;162;159
268,4,37,160;80
269,9,21,17;120
270,1,39,77;70
271,4,45,90;129;18
272,8,17,115;9
273,8,18,73
274,9,43,23
275,6,48,129;98;118
276,10,38,189;10;115
277,7,42,146;166;48;82
278,8,45,128;38;15
279,8,20,87;182
280,5,38,165
281,5,25,63;181
282,8,43,112;134
283,4,50,40;93;95
284,8,27,99;104;198;86
285,5,14,13;161;165
286,5,25,84;24
287,6,31,98;72;64
288,2,44,168;154;38
289,3,18,149;169
290,7,24,89;79
291,4,19,178;169;100;33
292,7,14,21;79;143
293,6,36,84;32
294,8,44,189;175;134
295,1,36,171
296,7,23,92;4
297,10,34,46;54
298,10,11,196;124
299,8,34,35;39
300,6,10,51
301,7,29,276;269;19
302,9,36,67;192;78
303,10,44,84;224
304,8,24,186
305,5,24,121;227;145
306,8,37,229;119;273
307,7,11,240;99
308,7,31,292;225
309,8,20,144;195
310,10,18,214;82;102
311,1,44,70;128;26;246
312,10,35,283;52;264;63
313,1,46,82;139
314,7,15,262;75
315,8,18,46;113;230;178
316,1,21,212;27;202;257
317,7,26,197;41
318,4,30,14;163
319,6,39,171;74;70;19
320,7,31,241;71
321,7,27,240;229;2
322,2,26,9;131;110;76
323,1,40,270;216;56
324,1,44,121;154
325,4,32,214
326,1,14,234;32;56
327,4,11,255;274;8;263
328,1,22,73;149;219
329,3,49,180
330,3,25,213;95
331,2,40,43;268;184
332,4,46,269
333,5,39,259;283;10
334,3,33,240;22
335,10,48,191;129;8
336,3,17,34;176
337,2,29,53;297
338,1,47,170;68;22
339,10,29,173;89
340,7,34,237;245;93;69
341,2,22,234
342,4,47,103
343,5,16,102
344,2,48,161;158;263;203
345,1,46,278;242;129;18
346,9,32,146;182
347,6,37,24;169;139;63
348,9,14,223;204;225
349,1,31,197;173;95;254
350,8,36,188;265;136
351,7,16,217;40;220;92
352,8,33,164;52;40
353,7,19,151;156
354,9,21,218;85
355,10,27,179;228;21
356,8,44,180;222;140
357,7,39,29;38;207
358,5,47,81;15
359,4,30,224;17
360,5,15,120;187
361,4,38,290;16
362,10,39,230;189;190
363,7,49,39;293
364,1,31,187;203
365,6,41,142;127
366,8,21,13;95;255;265
367,6,23,287;60
368,6,26,133;228
369,10,27,251
370,9,27,69;37
371,9,10,227;44
372,2,22,163;177;33;281
373,7,25,153;80;89
374,9,41,260;114;62
375,8,25,71;121;252;13
376,8,41,293;188
377,2,11,282;66
378,4,28,44;33;158
379,4,35,245;269
380,10,29,209;294
381,8,33,162
382,9,45,230;238;264
383,7,32,282;93
384,6,45,66;221;257
385,8,32,28;63;265;78
386,5,27,82;165
387,4,26,115;177;265;145
388,4,17,128;100;282;140
389,2,30,155;273
390,3,44,86
391,4,22,297;78;87
392,5,40,172;288;21
393,9,47,14;41;23;295
394,5,48,107;292
395,4,16,15;254
396,4,28,279;148;154;247
397,3,33,207;152
398,1,29,30;80
399,3,44,247;237
400,1,27,310;73
401,9,13,367;163
402,3,28,176;204;66
403,8,50,263;287;54
404,1,16,238;62
405,5,46,126;72
406,8,40,148
407,6,38,315;214;127;81
408,1,21,295;369;160;97
409,8,26,255;263;239
410,2,17,157;254
411,8,35,201
412,10,14,123;110;298
413,1,50,25;144
414,3,19,334;344
415,5,46,274;4
416,4,15,220;68;135;372
417,9,17,206;187
418,10,36,26
419,10,48,99;185;283
420,9,24,197;258
421,8,34,281;143
422,5,38,319;348;312;60
423,7,47,49;201
424,10,29,173;285
425,1,49,386;73;101;308
426,2,49,256;20;23
427,4,23,365
428,2,26,242;265
429,4,20,310;263
430,9,21,313;163
431,3,14,315;378
432,7,10,303;172;259;260
433,10,38,362;288;153
434,5,40,8;188
435,4,12,56;213
436,5,28,371;352;322
437,2,39,242
438,5,24,335;397
439,10,50,116;369;26
440,7,22,87;268;322
441,9,17,396;194;75
442,3,24,124;16;293;358
443,3,27,9;225
444,1,14,77;211
445,5,20,210;256;396
446,10,48,241;376;372
447,8,28,70
448,8,17,287;166;339
449,7,29,192;160
450,9,27,235;272;175;279
451,8,44,395;369
452,2,38,354;135;312
453,1,48,126;142
454,6,37,115;152;394
455,5,48,106;353
456,2,11,162;245;178
457,10,24,369;140;147
458,1,47,346;278
459,10,27,202;176
460,3,12,74;148;21;147
461,9,40,40;177;226;335
462,5,38,245;109
463,10,21,275;138
464,8,37,356;139;70;55
465,8,15,300;122;124
466,7,32,271
467,6,31,119;26
468,3,16,169;367
469,7,31,348;394
470,5,41,281;80
471,9,35,243;244
472,8,12,387;147;164
473,6,15,30;393
474,6,26,293
475,7,17,378;370
476,1,42,19;89;213;90
477,8,44,18;203;253;95
478,1,36,148;19;4;152
479,9,22,54;171;145
480,10,33,328;278
481,8,41,68;258;239
482,4,13,57;169
483,9,27,234;331
484,5,18,95;7
485,8,38,151;290;345
486,1,17,89;312;327
487,10,50,218;263;167;44
488,3,25,48;94
489,9,29,244;165;127;3
490,9,10,120;228
491,2,36,168;154;298
492,2,24,5;133;334
493,2,39,120;31
494,8,19,238;157;81
495,9,28,257;360
496,7,27,353;60;327
497,8,40,151;188;314;113
498,8,25,68;244
499,3,45,382;310
