name,time,marks,prerequisites
267,2,10,177;67;156
268,4,37,63;71
269,9,21,57;76;197
270,1,39,53;176
271,4,45,81;122;89
272,8,17,184;70;73
273,8,18,173;139
274,9,43,101;88
275,6,48,37;74;10;73
276,10,38,20;88;113;167
277,7,42,122;54
278,8,45,137;69
279,8,20,178;69;35;27
280,5,38,150;61;62
281,5,25,135
282,8,43,59;13
283,4,50,84;183
284,8,27,174;197
285,5,14,140;40
286,5,25,121;122
287,6,31,193;73;82
288,2,44,15;196
289,3,18,146
290,7,24,189;185
291,4,19,9;44;106;45
292,7,14,9;101;126;47
293,6,36,74;9;2;76
294,8,44,27;85;72
295,1,36,164;139
296,7,23,34;129;119
297,10,34,28;84
298,10,11,117;165
299,8,34,47;3
300,6,10,75;145;172
301,7,29,44;156;163
302,9,36,109;131;83;22
303,10,44,24;47
304,8,24,122;82;63;1
305,5,24,60;114
306,8,37,84;77;149
307,7,11,2;66;167
308,7,31,60;15
309,8,20,119;78;40
310,10,18,128;180
311,1,44,176;30;163
312,10,35,75;94;157;56
313,1,46,34;122
314,7,15,191;155
315,8,18,179;140
316,1,21,193;137;170;55
317,7,26,174;193;152
318,4,30,20;134;114;135
319,6,39,19;144;28
320,7,31,140
321,7,27,51;146;137;38
322,2,26,133;113
323,1,40,52;183
324,1,44,23;130;114
325,4,32,116;33;131;106
326,1,14,14;143
327,4,11,78;185
328,1,22,65
329,3,49,190;55;148;18
330,3,25,88
331,2,40,138;15;17
332,4,46,120;8;73;104
333,5,39,34;196
334,3,33,186;165;107
335,10,48,97;114
336,3,17,96;20;174;169
337,2,29,34;167;89;30
338,1,47,137;100
339,10,29,186;57;0
340,7,34,76;118;172
341,2,22,108;136;97
342,4,47,63;117;88;39
343,5,16,185;195
344,2,48,169;107
345,1,46,4;61;52
346,9,32,152
347,6,37,153
348,9,14,12;62;189
349,1,31,112
350,8,36,55;193
351,7,16,14;35;128;74
352,8,33,187;147
353,7,19,153;197
354,9,21,82;60;77
355,10,27,169;133;56;105
356,8,44,15;142
357,7,39,188;44;160;173
358,5,47,126;12
359,4,30,164;171;97;134
360,5,15,106;104
361,4,38,96;47
362,10,39,121;61;57
363,7,49,181;36
364,1,31,14;143;105;106
365,6,41,34;99;62
366,8,21,84;165
367,6,23,115
368,6,26,23;137;185;48
369,10,27,96
370,9,27,154;10;18
371,9,10,194;150
372,2,22,143;55;122
373,7,25,85;77
374,9,41,3;54;48;189
375,8,25,193;122
376,8,41,178;154;180;52
377,2,11,61;141
378,4,28,72;97
379,4,35,166;91
380,10,29,92;131
381,8,33,119;25;184;120
382,9,45,81;52;94
383,7,32,11;144
384,6,45,189;37;4;66
385,8,32,149;148;184
386,5,27,39;50
387,4,26,97;145
388,4,17,127;140;167;175
389,2,30,195;125
390,3,44,164;189;125;117
391,4,22,90;43
392,5,40,139;125
393,9,47,138;164
394,5,48,134;8;19;171
395,4,16,1
396,4,28,161;59
397,3,33,38
398,1,29,129
399,3,44,15;158
400,1,27,315;247;337
401,9,13,3;272
402,3,28,6;8;271
403,8,50,274;146;8
404,1,16,357;345;220
405,5,46,91;54;49;268
406,8,40,98;317
407,6,38,181;136;203
408,1,21,207
409,8,26,124;356
410,2,17,350;41
411,8,35,332;388;16
412,10,14,194
413,1,50,243;28
414,3,19,359;87;42
415,5,46,222;330
416,4,15,289;48;270
417,9,17,117;108;354;290
418,10,36,23;38
419,10,48,143;278;288
420,9,24,91;161;8
421,8,34,300;73;385;364
422,5,38,39;153;83;288
423,7,47,199;346
424,10,29,169;196;386;378
425,1,49,352;370
426,2,49,381
427,4,23,27;50;223;118
428,2,26,174;309;393;314
429,4,20,203;396;167;15
430,9,21,230;251;116
431,3,14,192;221
432,7,10,299;338
433,10,38,395;316
434,5,40,126;365
435,4,12,137
436,5,28,364;324
437,2,39,199;162
438,5,24,46;2
439,10,50,227;184;389;138
440,7,22,44;95
441,9,17,285;284
442,3,24,52;13;45
443,3,27,47;305
444,1,14,166;197;6
445,5,20,198;398
446,10,48,286
447,8,28,124;292;266;86
448,8,17,86;71;137
449,7,29,252;74
450,9,27,222
451,8,44,153;247
452,2,38,184;128;126
453,1,48,253;304;315
454,6,37,54;69
455,5,48,202;170
456,2,11,194;168;225;171
457,10,24,333;304
458,1,47,164;308
459,10,27,102;245;160;90
460,3,12,163;149;376;355
461,9,40,294;124;166
462,5,38,201;186
463,10,21,288;102
464,8,37,279;92;349
465,8,15,13;372;236
466,7,32,107;224;149;354
467,6,31,209
468,3,16,71;324;155
469,7,31,337;78
470,5,41,193;37;229
471,9,35,245;298;205;273
472,8,12,354;214;278
473,6,15,184
474,6,26,274;304;326
475,7,17,55;393;127;336
476,1,42,85;331;313
477,8,44,330
478,1,36,204;385;169
479,9,22,220;54;5;50
480,10,33,261;382
481,8,41,297;352;294
482,4,13,191;200
483,9,27,347;301
484,5,18,77;176;12
485,8,38,151;212
486,1,17,43;59;373;72
487,10,50,175;233
488,3,25,266;247;178
489,9,29,224;369
490,9,10,163;34;153
491,2,36,363
492,2,24,175;331
493,2,39,84;379
494,8,19,89;282
495,9,28,286;218
496,7,27,118;207;322;94
497,8,40,336;221
498,8,25,377;314
499,3,45,230;303;219;199
500,4,34,109
501,9,48,385;360
502,2,18,32;295;52;274
503,7,27,166;100
504,9,31,134;343
505,1,27,270;327;160;305
506,5,28,200;300
507,10,47,180;234
508,3,41,344;361;152
509,9,38,302;43;344;68
510,6,40,122;156
511,9,31,191;355
512,7,44,198;214
513,6,39,294;196;216
514,4,22,325;275
515,7,46,330;284
516,7,24,147;71
517,6,12,230;317
518,7,40,183
519,3,34,248;69;99;196
520,1,41,258;334;253;209
521,9,18,212;363;227
522,6,47,42;289
523,8,16,389
524,9,16,16;140
525,1,39,147;86
526,7,19,289;380;395
527,2,19,281;261;57
528,5,40,396;278
529,10,31,187;277;387;21
530,2,35,225;279;111
531,9,31,376;334;384
532,6,34,16;230
533,8,50,44;224
534,1,44,60;397;121;107
535,2,49,301;352;179;363
536,5,25,219;84;315
537,2,24,105;30
538,2,37,272;143;305
539,2,50,165;360;149
540,3,38,136;263
541,1,29,347;48;69;384
542,6,12,30;141;335
543,5,13,67;127
544,6,32,164;126
545,3,37,346;201;250
546,9,25,323;137
547,10,36,192;231;38
548,3,21,393;47;206
549,2,21,142;355;188
550,7,49,249;167
551,4,49,396;375;47
552,10,41,234;325;340
553,4,19,32;273;203
554,5,39,219;108
555,5,39,165;145
556,8,10,295;66
557,9,28,248;175;349
558,2,20,23;50;320
559,6,38,235;8;63
560,5,47,80;225;233;0
561,7,50,219;103;352;67
562,8,26,154;81;140;47
563,4,29,128;42;190
564,8,34,332;84;26
565,4,16,156;371
566,10,34,219;335
567,10,32,48
568,5,28,244
569,7,11,303
570,1,27,348;227
571,1,46,356
572,8,48,61;216
573,4,28,244;36;117
574,6,48,374;52
575,4,24,188;153
576,5,49,396;385
577,2,18,328;346;73;35
578,1,50,4;312;332
579,8,29,179;369
580,10,12,383;77
581,3,33,315;351;226;111
582,5,15,51
583,7,30,63;301
584,4,21,179;219;161
585,9,18,126;141;330
586,9,33,283
587,5,42,369;311;145
588,5,20,353;13;337
589,5,40,265;310;260
590,2,31,200;151
591,2,39,122;253;197
592,4,19,255;326
593,9,35,270;6;184
594,2,33,67;198;291;215
595,1,35,349;88
596,9,26,394;37
597,8,17,7;134;110
598,5,33,30
599,7,47,203;259;321
600,6,50,425;433;411
601,4,16,549
602,1,40,156;284;85
603,9,49,523;208
604,10,30,159;549;334;400
605,2,24,67;317;447
606,8,50,244;59;250
607,7,29,444
608,3,17,56;316
609,1,12,179;122;12
610,8,29,11;167;508
611,2,17,535;529;265;170
612,9,25,275;120
613,7,18,30;343;439
614,6,39,65;269
615,7,44,590;78;508
616,3,47,368;56
617,2,36,580;170
618,10,41,261;105
619,5,36,118;233;521;2
620,6,12,12
621,8,23,483;372
622,4,38,153;183
623,2,33,36;566;429;229
624,9,33,426;327
625,1,32,79;585
626,5,35,514;53
627,2,22,528;47
628,2,39,70;476;289;318
629,10,23,566;467
630,1,11,205
631,4,31,311;248
632,10,18,505;200
633,2,23,559;251;154
634,4,45,419
635,4,47,554
636,6,24,9;343
637,10,19,385
638,5,10,314;106;210;542
639,3,19,429;503;61;145
640,5,44,95;44;237
641,2,21,532;422;381;469
642,3,11,86;594;97;517
643,6,10,403;76
644,10,25,63;445;133
645,1,30,267;322
646,5,21,402;334;325;463
647,3,13,76;207
648,9,36,598;111
649,2,17,168;460
650,8,40,416;123
651,9,33,212;462;315
652,2,47,122;92
653,9,38,311;41
654,10,24,335;151
655,9,12,254
656,8,29,405;525;50;306
657,1,11,178;31
658,7,40,463;569;563;255
659,2,37,104
660,8,41,143;124;12;63
661,2,14,227;133;202;410
662,10,30,86;596
663,2,19,76;22;66
664,5,18,454;131
665,10,49,339
666,6,45,472;51
667,10,34,587;443
668,5,43,404;508;30;391
669,9,39,176;362;219
670,7,48,281;286;456;152
671,2,16,251
672,4,45,510;421;563
673,8,37,89;286
674,7,24,429;204
675,8,31,538;255;556
676,7,35,391;367;491
677,6,16,496;352;579
678,6,37,397;276;184
679,6,26,224
680,8,19,287
681,2,14,483
682,2,15,598;238;163
683,2,37,246;272
684,3,33,57;224;589
685,1,45,397;363;177;180
686,9,47,325;367
687,6,45,28;360;581;577
688,7,17,192;504
689,7,32,179;502;38
690,5,13,238
691,5,48,20;539;489
692,2,32,206
693,9,46,348;181;331;60
694,3,23,145
695,4,40,538;373;74
696,6,16,405;103
697,6,45,330;139
698,5,17,447;498;324;178
699,4,46,575;365;228
700,9,37,179;387;314
701,10,49,301;130;181
702,1,45,586;400;581
703,5,48,325
704,3,11,226;579;106;508
705,5,27,79;243
706,6,31,327;171
707,3,10,90;343;457
708,10,19,214
709,2,35,69;358
710,1,19,110;1
711,9,15,448
712,7,23,170;423;504
713,8,36,359;559;384;103
714,3,31,591;230;166;462
715,5,33,34
716,10,30,326;267
717,2,48,75;350;174;384
718,3,13,76;560
719,10,20,95;346;494;31
720,2,13,168;444
721,8,27,103;339
722,8,37,194;419
723,8,48,553;271;288
724,5,36,98;50
725,9,23,562;502
726,6,17,369;3
727,2,37,301;491
728,10,28,26;211
729,9,41,298;83
730,1,29,118;315
731,7,24,482;500;271
732,1,48,557
733,4,10,379;390
734,4,29,456;45
735,5,18,476;269
736,6,28,275;577
737,1,17,99
738,7,41,352
739,3,21,423;232;566;62
740,9,34,535;428;548;486
741,9,24,241;487;306
742,6,45,35
743,7,14,529;585;150
744,7,12,459;177
745,8,11,171;216;197;129
746,6,14,80
747,7,46,445;206;151;264
748,7,46,68;89
749,7,50,406;565
750,2,28,282;532
751,1,35,12;535
752,3,30,115;424;153
753,8,49,596;102
754,2,33,576;103;292;548
755,2,37,420;270;392;497
756,7,25,484;38
757,7,47,147;411
758,2,43,339
759,5,35,50;486;275
760,4,31,345;310;318
761,3,31,503
762,9,14,233;137;307;453
763,2,50,328;275;426
764,9,43,91;192;452
765,6,22,416;496
766,3,32,382;527
767,2,25,67;318;518
768,5,19,536;582
769,3,22,197
770,3,48,205;59;255;33
771,3,14,369;203
772,8,50,475;517
773,10,39,126;31
774,8,47,500;456
775,10,46,485;564
776,6,30,167;264
777,8,19,92;291;28
778,8,14,166;585
779,5,38,219;226;230
780,10,27,275;419;525
781,6,13,9
782,2,42,135;177
783,8,29,8;229;258
784,1,38,312;281;433
785,6,13,357;470;258;223
786,2,28,533;406
787,10,15,7;523;383
788,9,48,289;305;110
789,8,34,344;283
790,9,47,283;267;305
791,8,12,529;246
792,4,46,413;327;143;26
793,10,30,302;265;428
794,9,40,36;597
795,1,19,585;194;351
796,2,38,227;547;487
797,2,31,367;519;307;174
798,3,42,571;185;300;99
799,4,12,264;572
800,8,38,187;696;343
801,9,43,227;363;228
802,3,49,314;430;339
803,6,33,599;301
804,7,28,120;481
805,6,36,649
806,1,48,635;72;483
807,6,50,512;122;697;390
808,6,14,423;55;154
809,9,16,205;350
810,5,34,583;468
811,10,26,732;184
812,6,19,499;340;646
813,10,15,320;649;59;4
814,6,19,214;779
815,7,29,590;782;162
816,10,18,781;798
817,5,15,629
818,7,45,439;413
819,3,31,488;392
820,2,43,546
821,9,37,382;14
822,1,33,775;543;195;18
823,5,33,641;751;254
824,4,21,352;319
825,8,31,392;515
826,4,22,171;66;46
827,3,18,297;466
828,5,14,610;536;345
829,9,16,703;137
830,9,44,501;367
831,6,12,168;413;19
832,3,49,744;134
833,7,48,22;603
834,3,19,126;375;728
835,10,21,38;384;655
836,8,20,547;638
837,7,12,49
838,4,33,669;20;49
839,10,38,426;454;389
840,8,28,258;485
841,9,24,210;711;702
842,5,25,308;430;677
843,4,40,532;276
844,10,33,717;140;428
845,8,38,107;523;736;632
846,7,28,116;108
847,9,42,623;204
848,3,36,535;206;366
849,10,22,302;164;40
850,5,18,212;704;492
851,8,13,2;13
852,9,33,113;587;685
853,9,16,92;798
854,5,17,740;103;262
855,3,15,467;303;270
856,8,27,102;178
857,3,42,297;368;693;320
858,2,37,118;97
859,8,24,46;9;141;679
860,1,32,336;366;448
861,1,36,274;750;95;381
862,9,35,187;116;410;409
863,4,33,278;394;706;489
864,2,34,664;170;115
865,4,33,743;60
866,6,11,163;106;426;604
867,6,16,582;694
868,3,19,625;388
869,5,12,626;29;700
870,3,40,744;133;494;499
871,8,40,421;451
872,1,49,267
873,1,15,12;721;694
874,4,26,761;590;741
875,9,19,685;346;531
876,9,48,717;633;97
877,2,37,744;254
878,4,28,679;692
879,2,29,152;571;627
880,4,13,658
881,10,36,517;480;507;169
882,2,39,503
883,8,17,338;284
884,9,48,228
885,9,11,387;412;240
886,4,46,454
887,5,19,458;90;510;457
888,1,37,509;763
889,6,49,105;413;422
890,10,25,562
891,3,36,93
892,9,15,633;652;311
893,2,33,575;211;670;687
894,9,43,349;372
895,9,42,228;465;339;573
896,1,45,614;484;733
897,8,34,733;463;116
898,7,12,674
899,5,33,349;363
900,6,11,298;560;534;382
901,6,14,46;168;504
902,2,25,734;760
903,6,47,109;260;625
904,1,18,123;402
905,9,32,195;733
906,3,31,775;424
907,8,39,648
908,3,50,602;126;790;461
909,2,18,603;516
910,1,39,510;4
911,4,28,49;566;443
912,4,12,494;520;799;181
913,6,12,177;748;131
914,9,29,673;614
915,9,35,329;516;393
916,5,40,623;709
917,4,12,280;407;351
918,6,28,463;136;141;422
919,6,13,766;524;306
920,2,27,560;321;728;754
921,7,33,647;222;205;214
922,8,35,297;703;353
923,6,34,135;727;665;182
924,8,21,710;652;330
925,6,41,779;360;575
926,5,43,584;683
927,7,15,690;765;546
928,7,15,432;13
929,3,48,25;390;148
930,5,44,57
931,2,30,768;164
932,6,15,699;256;149;63
933,5,28,302;208;771
934,10,38,367;463;104
935,3,37,691;757;575
936,6,38,760;662;574;398
937,1,38,712;294
938,10,32,48;390;396
939,5,37,701;320
940,1,50,55;13;761;257
941,7,14,799;453
942,9,33,648;721;726;663
943,1,20,602;559
944,10,19,201;794;742
945,1,38,301;459;181;699
946,2,18,177
947,6,25,122;386;41
948,7,33,569;270
949,1,46,598;261
950,3,48,477
951,6,38,158;40;157
952,8,33,611;52;792;640
953,10,14,677;308;502
954,9,18,563;366;74
955,7,33,325;538;225
956,5,30,533;69;517;163
957,2,25,549;413
958,3,11,226
959,9,41,679;339;369;300
960,9,34,770;633
961,5,17,574;770;664
962,8,26,684
963,10,23,246;657
964,8,28,636;249;40
965,2,22,328;390;116
966,2,18,553;741
967,3,38,529;788
968,2,38,520;456
969,6,30,303;667
970,9,14,526;84
971,5,44,171;791;550;546
972,3,29,67
973,3,50,644;792
974,9,33,701;434
975,2,24,210;550;719;759
976,3,22,662;73;764
977,8,25,24;470;734
978,6,11,89;75
979,10,45,257
980,8,33,588;233;264
981,3,45,461;645
982,2,49,323;17
983,5,14,121;547
984,8,35,737
985,7,43,774;763;599
986,10,36,74
987,3,14,514;108
988,2,30,702;308
989,8,38,288;783;448
990,6,43,676;31
991,9,18,546;225
992,10,50,400;558
993,3,21,649;147
994,9,37,746;663
995,2,13,11;566
996,3,43,144;126;42;5
997,3,29,403;550;560
998,6,20,312;215;766;759
999,6,24,352;216;422;661
